Deals,chicken_taco,Tacolada Food Truck,One serving,,,17.5,22.2,157.2,303.5,Chicken Taco
Deals,beef_Taco,Tacolada Food Truck,One serving,,,20,23,157.2,332.5,Beef Taco
Drinks,pepsi,Tacolada Food Truck,355ml,,,0,0,39,140,Pepsi
Drinks,sprite,Tacolada Food Truck,355ml,,,0,0,38,140,Sprite
Toppings,cheese,Tacolada Food Truck,20g,,,6.7,4.6,0.5,81.5,Cheese
Toppings,sour_cream,Tacolada Food Truck,1 Tbsp,,,2.9,0.37,0.7,30,Sour cream
Toppings,avocado_scoop,Tacolada Food Truck,25g,,,4,1,2,40,Avocado Scoop
Sandwiches,burger,Scooby Food Truck,150 g,,+1 Tbsp of ketchup = 17 kcal \ +1 Tbsp of mayonnaise = 94 kcal \ +1 Tbsp of mustard = 9 kcal.,26,29.5,51.4,567,Hamburger
Sandwiches,hotdog,Scooby Food Truck,,,+1 Tbsp of ketchup = 17 kcal \ +1 Tbsp of mayonnaise = 94 kcal \ +1 Tbsp of mustard = 9 kcal,34.1,25.9,50.5,615.5,Hot dog sandwich
